                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    130,                0.44125,                0.41742,                 1.0736,                0.98715,                0.98515,                0.98514,                0.93056,                0.36703,                0.28835,                0.98189,               0.000722,               0.000722,               0.000722
                    131,                0.43646,                0.41405,                 1.0789,                0.99106,                 0.9861,                 0.9856,                0.93151,                0.37411,                0.28579,                0.98524,             0.00071788,             0.00071788,             0.00071788
                    132,                0.43476,                0.41203,                 1.0805,                0.99127,                0.98547,                0.98494,                0.92124,                0.38274,                0.29997,                0.98736,             0.00071375,             0.00071375,             0.00071375
                    133,                0.43871,                0.41386,                 1.0813,                0.98962,                 0.9861,                0.98647,                0.92082,                0.37497,                 0.2874,                0.98481,             0.00070962,             0.00070962,             0.00070962
                    134,                0.43426,                 0.4048,                 1.0719,                0.98378,                0.98348,                0.98785,                0.93024,                0.37278,                0.28702,                0.97272,              0.0007055,              0.0007055,              0.0007055
                    135,                0.42282,                0.40507,                 1.0731,                0.98709,                0.97526,                 0.9876,                 0.9313,                0.37845,                0.29112,                 0.9831,             0.00070137,             0.00070137,             0.00070137
                    136,                0.42811,                0.40526,                 1.0698,                0.99058,                 0.9861,                0.98797,                0.93347,                0.37328,                0.27967,                0.97959,             0.00069725,             0.00069725,             0.00069725
                    137,                0.41954,                0.39227,                 1.0711,                0.98736,                 0.9861,                0.98682,                 0.9272,                0.38067,                0.28104,                0.98028,             0.00069313,             0.00069313,             0.00069313
                    138,                0.43222,                0.41285,                 1.0779,                0.99013,                 0.9861,                0.98721,                0.92598,                0.37861,                0.27707,                 0.9821,               0.000689,               0.000689,               0.000689
                    139,                0.43086,                0.40899,                 1.0706,                0.98606,                0.98384,                0.98611,                0.92412,                0.39016,                 0.2949,                0.98293,             0.00068488,             0.00068488,             0.00068488
